CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,
,,,,,Car or van availability : All categories: Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,
49,E11000006,West Yorkshire,Counties,CNTY,922452,271399,
2353,E05001341,Baildon,Wards and Electoral Divisions,WED,6785,1134,
2354,E05001342,Bingley,Wards and Electoral Divisions,WED,8223,1792,
2355,E05001343,Bingley Rural,Wards and Electoral Divisions,WED,7697,1239,
2356,E05001344,Bolton and Undercliffe,Wards and Electoral Divisions,WED,6346,1772,
2357,E05001345,Bowling and Barkerend,Wards and Electoral Divisions,WED,7124,3311,
2358,E05001346,Bradford Moor,Wards and Electoral Divisions,WED,5756,2412,
2359,E05001347,City,Wards and Electoral Divisions,WED,7489,4569,
2360,E05001348,Clayton and Fairweather Green,Wards and Electoral Divisions,WED,6335,1851,
2361,E05001349,Craven,Wards and Electoral Divisions,WED,7201,1051,
2362,E05001350,Eccleshill,Wards and Electoral Divisions,WED,7314,2507,
2363,E05001351,Great Horton,Wards and Electoral Divisions,WED,6169,2191,
2364,E05001352,Heaton,Wards and Electoral Divisions,WED,5207,1402,
2365,E05001353,Idle and Thackley,Wards and Electoral Divisions,WED,7022,1416,
2366,E05001354,Ilkley,Wards and Electoral Divisions,WED,6384,1086,
2367,E05001355,Keighley Central,Wards and Electoral Divisions,WED,6143,2432,
2368,E05001356,Keighley East,Wards and Electoral Divisions,WED,6845,1651,
2369,E05001357,Keighley West,Wards and Electoral Divisions,WED,6949,2438,
2370,E05001358,Little Horton,Wards and Electoral Divisions,WED,6719,3354,
2371,E05001359,Manningham,Wards and Electoral Divisions,WED,5605,2745,
2372,E05001360,Queensbury,Wards and Electoral Divisions,WED,6670,1356,
2373,E05001361,Royds,Wards and Electoral Divisions,WED,7071,2303,
2374,E05001362,Shipley,Wards and Electoral Divisions,WED,6966,2126,
2375,E05001363,Thornton and Allerton,Wards and Electoral Divisions,WED,6996,1937,
2376,E05001364,Toller,Wards and Electoral Divisions,WED,5331,1750,
2377,E05001365,Tong,Wards and Electoral Divisions,WED,8331,3541,
2378,E05001366,Wharfedale,Wards and Electoral Divisions,WED,4953,600,
2379,E05001367,Wibsey,Wards and Electoral Divisions,WED,6107,1999,
2380,E05001368,Windhill and Wrose,Wards and Electoral Divisions,WED,6825,2133,
2381,E05001369,Worth Valley,Wards and Electoral Divisions,WED,6263,1018,
2382,E05001370,Wyke,Wards and Electoral Divisions,WED,6470,1683,
2383,E05001371,Brighouse,Wards and Electoral Divisions,WED,5247,1471,
2384,E05001372,Calder,Wards and Electoral Divisions,WED,5542,1368,
2385,E05001373,Elland,Wards and Electoral Divisions,WED,5251,1469,
2386,E05001374,Greetland and Stainland,Wards and Electoral Divisions,WED,4879,790,
2387,E05001375,Hipperholme and Lightcliffe,Wards and Electoral Divisions,WED,4909,826,
2388,E05001376,Illingworth and Mixenden,Wards and Electoral Divisions,WED,5450,1755,
2389,E05001377,Luddendenfoot,Wards and Electoral Divisions,WED,4725,941,
2390,E05001378,Northowram and Shelf,Wards and Electoral Divisions,WED,5094,864,
2391,E05001379,Ovenden,Wards and Electoral Divisions,WED,5249,2042,
2392,E05001380,Park,Wards and Electoral Divisions,WED,4920,2147,
2393,E05001381,Rastrick,Wards and Electoral Divisions,WED,5008,1264,
2394,E05001382,Ryburn,Wards and Electoral Divisions,WED,4826,857,
2395,E05001383,Skircoat,Wards and Electoral Divisions,WED,5485,1198,
2396,E05001384,Sowerby Bridge,Wards and Electoral Divisions,WED,5495,1683,
2397,E05001385,Todmorden,Wards and Electoral Divisions,WED,5436,1604,
2398,E05001386,Town,Wards and Electoral Divisions,WED,5972,2415,
2399,E05001387,Warley,Wards and Electoral Divisions,WED,5133,1525,
2400,E05001389,Ashbrow,Wards and Electoral Divisions,WED,8301,2961,
2401,E05001390,Batley East,Wards and Electoral Divisions,WED,6820,2099,
2402,E05001391,Batley West,Wards and Electoral Divisions,WED,7317,2034,
2403,E05001392,Birstall and Birkenshaw,Wards and Electoral Divisions,WED,7017,1569,
2404,E05001393,Cleckheaton,Wards and Electoral Divisions,WED,7442,1716,
2405,E05001396,Dalton,Wards and Electoral Divisions,WED,7688,2639,
2406,E05001397,Denby Dale,Wards and Electoral Divisions,WED,6897,876,
2407,E05001398,Dewsbury East,Wards and Electoral Divisions,WED,7930,2421,
2408,E05001399,Dewsbury South,Wards and Electoral Divisions,WED,6513,1844,
2409,E05001400,Dewsbury West,Wards and Electoral Divisions,WED,6851,2505,
2410,E05001401,Golcar,Wards and Electoral Divisions,WED,7903,2069,
2411,E05001402,Greenhead,Wards and Electoral Divisions,WED,8100,3005,
2412,E05001403,Heckmondwike,Wards and Electoral Divisions,WED,6642,1593,
2413,E05001405,Holme Valley South,Wards and Electoral Divisions,WED,7989,1062,
2414,E05001407,Lindley,Wards and Electoral Divisions,WED,8385,1920,
2415,E05001408,Liversedge and Gomersal,Wards and Electoral Divisions,WED,8333,1951,
2416,E05001409,Mirfield,Wards and Electoral Divisions,WED,8520,1696,
2417,E05001410,Newsome,Wards and Electoral Divisions,WED,8444,3702,
2418,E05001411,Adel and Wharfedale,Wards and Electoral Divisions,WED,8501,1287,
2419,E05001412,Alwoodley,Wards and Electoral Divisions,WED,9931,1909,
2420,E05001413,Ardsley and Robin Hood,Wards and Electoral Divisions,WED,9179,1430,
2421,E05001414,Armley,Wards and Electoral Divisions,WED,11468,5109,
2422,E05001415,Beeston and Holbeck,Wards and Electoral Divisions,WED,9830,4658,
2423,E05001416,Bramley and Stanningley,Wards and Electoral Divisions,WED,9573,3347,
2424,E05001417,Burmantofts and Richmond Hill,Wards and Electoral Divisions,WED,11701,6928,
2425,E05001418,Calverley and Farsley,Wards and Electoral Divisions,WED,9739,1747,
2426,E05001419,Chapel Allerton,Wards and Electoral Divisions,WED,10434,4318,
2427,E05001420,City and Hunslet,Wards and Electoral Divisions,WED,15207,8965,
2428,E05001421,Cross Gates and Whinmoor,Wards and Electoral Divisions,WED,9779,3106,
2429,E05001422,Farnley and Wortley,Wards and Electoral Divisions,WED,10761,3436,
2430,E05001423,Garforth and Swillington,Wards and Electoral Divisions,WED,8405,1658,
2431,E05001424,Gipton and Harehills,Wards and Electoral Divisions,WED,10208,5692,
2432,E05001425,Guiseley and Rawdon,Wards and Electoral Divisions,WED,9549,1473,
2433,E05001426,Harewood,Wards and Electoral Divisions,WED,7797,698,
2434,E05001427,Headingley,Wards and Electoral Divisions,WED,6238,2573,
2435,E05001428,Horsforth,Wards and Electoral Divisions,WED,9365,1690,
2436,E05001429,Hyde Park and Woodhouse,Wards and Electoral Divisions,WED,9073,5603,
2437,E05001430,Killingbeck and Seacroft,Wards and Electoral Divisions,WED,10335,4633,
2438,E05001431,Kippax and Methley,Wards and Electoral Divisions,WED,8829,1661,
2439,E05001432,Kirkstall,Wards and Electoral Divisions,WED,9345,3970,
2440,E05001433,Middleton Park,Wards and Electoral Divisions,WED,11397,4916,
2441,E05001434,Moortown,Wards and Electoral Divisions,WED,9717,2078,
2442,E05001435,Morley North,Wards and Electoral Divisions,WED,9905,1953,
2443,E05001436,Morley South,Wards and Electoral Divisions,WED,10014,2825,
2444,E05001437,Otley and Yeadon,Wards and Electoral Divisions,WED,10045,2323,
2445,E05001438,Pudsey,Wards and Electoral Divisions,WED,9871,2653,
2446,E05001439,Rothwell,Wards and Electoral Divisions,WED,8786,1943,
2447,E05001440,Roundhay,Wards and Electoral Divisions,WED,9100,1905,
2448,E05001441,Temple Newsam,Wards and Electoral Divisions,WED,9063,2620,
2449,E05001442,Weetwood,Wards and Electoral Divisions,WED,8960,2396,
2450,E05001443,Wetherby,Wards and Electoral Divisions,WED,8491,1284,
2451,E05001444,"Ackworth, North Elmsall and Upton",Wards and Electoral Divisions,WED,6882,1223,
2452,E05001445,Airedale and Ferry Fryston,Wards and Electoral Divisions,WED,6180,2111,
2453,E05001446,Altofts and Whitwood,Wards and Electoral Divisions,WED,7007,1780,
2454,E05001447,Castleford Central and Glasshoughton,Wards and Electoral Divisions,WED,6883,1978,
2455,E05001448,"Crofton, Ryhill and Walton",Wards and Electoral Divisions,WED,6375,1271,
2456,E05001449,Featherstone,Wards and Electoral Divisions,WED,6925,2033,
2457,E05001450,Hemsworth,Wards and Electoral Divisions,WED,6566,2041,
2458,E05001451,Horbury and South Ossett,Wards and Electoral Divisions,WED,6672,1433,
2459,E05001452,Knottingley,Wards and Electoral Divisions,WED,6073,1927,
2460,E05001453,Normanton,Wards and Electoral Divisions,WED,7080,2056,
2461,E05001454,Ossett,Wards and Electoral Divisions,WED,7094,1571,
2462,E05001455,Pontefract North,Wards and Electoral Divisions,WED,6830,1854,
2463,E05001456,Pontefract South,Wards and Electoral Divisions,WED,6554,1705,
2464,E05001457,South Elmsall and South Kirkby,Wards and Electoral Divisions,WED,7509,2257,
2465,E05001458,Stanley and Outwood East,Wards and Electoral Divisions,WED,6505,1183,
2466,E05001459,Wakefield East,Wards and Electoral Divisions,WED,6768,2824,
2467,E05001460,Wakefield North,Wards and Electoral Divisions,WED,6712,2413,
2468,E05001461,Wakefield Rural,Wards and Electoral Divisions,WED,7197,934,
2469,E05001462,Wakefield South,Wards and Electoral Divisions,WED,5858,1543,
2470,E05001463,Wakefield West,Wards and Electoral Divisions,WED,6629,2403,
2471,E05001464,Wrenthorpe and Outwood West,Wards and Electoral Divisions,WED,6115,1179,
8330,E05008558,Almondbury,Wards and Electoral Divisions,WED,7969,2068,
8331,E05008559,Colne Valley,Wards and Electoral Divisions,WED,7576,1521,
8332,E05008560,Crosland Moor and Netherton,Wards and Electoral Divisions,WED,7444,2583,
8333,E05008561,Holme Valley North,Wards and Electoral Divisions,WED,7076,1307,
8334,E05008562,Kirkburton,Wards and Electoral Divisions,WED,6368,734,
