"m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","Car","NoCar","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
671,771,1033,1160,1165,772,679,760,1053,1283,1139,859,9449,1896,347,1068,2772,1731,1132,657,1173,760,288,1417
887,1254,1217,1344,1229,752,832,1169,1255,1369,1228,886,10497,2925,397,1313,3264,1978,1128,735,1285,1041,378,1902
883,864,1195,1382,1170,878,811,962,1285,1493,1276,933,11018,2114,355,1001,2999,1894,1261,797,1483,1060,366,1915
976,1085,1184,1073,852,482,1021,1202,1034,1177,793,587,8264,3202,143,398,1583,1455,803,791,1587,1265,886,2556
1368,1764,1528,978,768,462,1421,1771,1296,1004,765,485,7285,6325,83,253,971,961,803,706,1638,1749,2106,4341
1552,1847,1425,908,688,349,1572,1893,1414,887,626,355,7852,5664,48,173,717,696,844,517,1305,1339,2605,5270
3607,3146,1638,814,623,297,3108,1968,1087,720,531,371,6983,10927,43,312,790,674,660,476,1127,1377,2142,10309
830,1042,1139,1031,927,465,1101,1152,1225,1145,925,593,8193,3382,144,449,1727,1355,798,699,1525,1429,847,2600
677,809,1094,1191,1131,862,715,868,1117,1289,1204,987,10201,1743,345,972,2786,1569,1364,742,1399,1101,221,1445
1040,1173,1086,1190,955,532,1084,1434,1197,1259,944,646,8242,4298,128,378,1649,1517,816,958,1989,1815,900,2391
1058,1361,1247,914,823,436,1138,1484,1122,1022,805,482,7668,4224,85,330,1128,1065,808,576,1466,1489,1494,3451
1127,1317,1159,829,738,414,1071,1362,1175,901,704,457,8224,3030,104,531,1343,906,861,418,963,869,1533,3726
830,1059,1259,1254,994,610,776,1069,1239,1310,1033,700,9686,2447,367,928,2739,1803,1052,793,1395,1011,387,1658
574,534,911,1059,956,744,551,542,1019,1164,984,881,8232,1687,407,1636,2811,1047,931,343,769,410,182,1383
1165,1564,1204,841,858,493,1207,1459,1036,853,811,498,7243,4746,109,335,1068,799,950,589,1358,1392,1801,3587
838,1106,1192,1131,1014,686,889,1087,1178,1166,998,730,9117,2898,258,641,2095,1413,1102,741,1524,1375,711,2156
940,933,1068,1140,944,657,1001,1061,1198,1203,912,720,7645,4132,153,342,1553,1328,791,919,2015,1849,698,2128
1425,2028,1485,900,718,422,1430,1977,1345,1006,656,434,6924,6902,53,222,777,779,744,586,1498,1800,2520,4846
1469,2039,1518,809,700,394,1478,1800,1192,776,626,378,6725,6454,35,248,691,631,755,477,1099,1282,2801,5160
883,1078,1233,1249,950,524,929,1101,1291,1324,902,573,9590,2447,268,695,2258,1762,1024,886,1533,1192,480,1940
943,1143,1152,1119,877,531,1060,1273,1251,1225,920,640,8182,3952,146,346,1621,1408,768,891,1939,1786,911,2318
777,1319,1215,1056,915,526,724,1218,1135,1028,921,631,7966,3499,252,1138,2627,1497,775,617,1238,867,538,1917
883,1071,1222,1150,971,625,955,1254,1234,1215,1024,642,8855,3391,193,570,2114,1505,967,751,1616,1379,834,2317
1472,1941,1343,832,695,369,1446,1820,1301,836,665,419,8826,4313,64,338,920,750,950,422,1149,1164,2404,4978
1181,1423,1382,1229,988,579,1259,1766,1359,1471,953,613,8166,6037,148,446,1523,1278,770,981,2128,2440,1374,3115
474,454,840,906,809,534,407,485,912,979,864,641,7299,1006,351,1188,2378,1074,794,331,667,376,108,1039
804,897,985,1001,830,514,812,979,1085,1058,811,607,6984,3399,128,344,1385,1413,772,745,1468,1459,692,1976
878,1108,1160,1130,917,593,968,1125,1193,1149,938,663,8127,3695,202,431,1739,1543,812,888,1864,1610,676,2056
646,794,1093,1169,1069,591,649,777,1140,1231,1062,624,9082,1763,318,827,2466,1349,1393,670,1228,944,303,1348
826,938,997,1063,983,645,855,951,1046,1104,995,715,8226,2892,202,416,1701,1523,869,890,1599,1485,579,1854
563,632,782,897,771,516,546,602,802,832,754,595,5967,2325,227,561,1649,1080,665,594,1117,937,290,1172
508,465,899,1024,905,475,481,534,1032,1139,954,490,6708,2198,270,999,2397,804,987,442,904,630,251,1223
595,716,845,839,705,500,651,763,838,850,724,550,6177,2399,154,439,1461,1110,673,626,1238,1126,425,1322
545,595,912,908,785,486,484,651,928,970,770,462,7120,1376,282,705,1904,1058,886,561,971,718,245,1166
512,592,766,911,797,545,495,609,820,870,832,546,6899,1396,271,741,1978,1170,776,477,919,718,202,1043
719,676,948,903,751,525,706,755,898,935,819,633,6284,2984,140,342,1339,1071,662,662,1528,1288,556,1678
519,459,735,890,775,503,511,465,834,924,758,510,6313,1570,239,702,1810,866,893,418,835,735,222,1164
582,503,816,939,810,580,503,563,862,972,820,649,7141,1458,258,627,1963,1367,881,550,955,715,185,1098
756,780,839,879,649,414,814,883,888,886,682,455,5453,3472,97,212,1054,928,520,626,1556,1531,655,1746
1094,1318,1129,702,617,332,1139,1396,953,654,546,335,5757,4458,43,225,645,619,637,385,1149,1148,1738,3625
620,570,807,822,753,618,503,558,867,783,826,632,6249,2110,202,583,1702,1044,615,576,1110,957,342,1226
549,571,858,893,784,518,527,585,925,964,761,487,6926,1496,278,771,1985,901,897,460,917,768,260,1186
649,866,917,873,754,507,586,798,935,920,758,562,7132,1993,270,1071,2074,1149,679,396,949,640,380,1517
652,854,809,889,710,507,637,755,817,852,781,563,6123,2703,149,516,1617,1146,712,650,1307,1066,360,1304
599,677,925,891,824,487,626,728,897,917,850,521,6303,2639,172,535,1774,882,889,575,1280,986,441,1408
706,1000,881,946,717,474,688,868,794,822,641,522,5396,3663,126,392,1370,1034,641,714,1510,1343,526,1404
585,822,788,772,718,527,670,855,817,813,703,567,6071,2566,141,368,1316,1073,626,593,1302,1103,545,1571
1132,1253,1332,1235,1033,726,1183,1440,1346,1344,1061,830,8951,4964,251,694,2063,1242,880,806,1724,1806,1128,3321
1173,1652,1439,1114,922,578,1239,1537,1224,1048,899,610,9300,4135,123,440,1386,1097,922,645,1648,1756,1784,3635
1148,1403,1348,1091,1047,722,1168,1490,1280,1150,1038,743,9840,3788,176,513,1632,1336,1006,877,1865,2009,1266,2948
816,899,1176,1168,1045,723,838,1041,1182,1226,1083,770,9291,2676,309,728,2305,1669,1051,774,1493,1507,436,1696
844,1001,1262,1221,1123,748,879,998,1223,1179,1082,817,9523,2854,292,694,2325,1620,1108,947,1707,1505,461,1715
1176,1062,1230,1232,974,711,1070,1120,1199,1306,1058,796,8494,4440,188,491,1843,1358,894,952,1845,1795,763,2804
740,765,1198,1207,1202,890,668,766,1264,1209,1254,926,10554,1535,415,1080,2786,1383,1253,840,1391,1167,285,1491
1170,1289,1415,1331,1020,709,1145,1225,1311,1262,1066,791,9541,4193,206,525,1886,1503,1014,1023,1907,2164,942,2565
1369,1252,1260,1130,1019,649,1194,1304,1236,1172,893,686,9437,3727,147,399,1377,1061,1051,672,1527,1700,1519,3710
1315,1652,1468,1029,822,454,1362,1690,1305,1012,739,449,8435,4862,103,323,1120,877,1014,695,1487,2041,1847,3790
1035,1272,1375,1303,1070,628,1033,1318,1365,1346,1029,695,9943,3526,258,738,2559,1531,983,1025,1892,1680,626,2177
1593,1820,1545,1227,907,604,1447,1605,1274,1076,861,648,9188,5419,184,794,1948,1057,985,626,1391,1417,1315,4892
1015,1194,1230,1107,1025,588,978,1192,1208,1107,981,682,9355,2952,201,483,1737,1341,1060,850,1649,1551,943,2491
877,775,1386,1572,1432,905,755,790,1503,1648,1388,906,12084,1853,538,1458,3536,1503,1558,747,1340,1070,309,1880
945,1063,1360,1405,1181,822,960,1151,1422,1456,1207,963,10744,3191,399,1223,2994,1713,1052,847,1587,1240,539,2340
1042,1178,1410,1314,1207,851,976,1182,1481,1362,1267,971,10907,3334,372,755,2519,1703,1182,1100,2111,1808,602,2089
958,939,1326,1458,1329,1077,930,985,1362,1388,1405,1174,11478,2853,397,1005,3032,1939,1250,1023,1704,1462,439,2080
2443,1653,1263,1181,1039,647,2263,1361,1098,1019,970,685,8773,6849,121,509,1604,986,709,692,1453,1465,1054,7028
838,797,1274,1483,1372,1010,751,906,1337,1532,1516,1141,11844,2113,499,1976,3509,1831,1298,560,1209,649,371,2054
1085,1338,1599,1511,1379,937,1078,1529,1579,1723,1469,1053,13151,3129,439,2184,3654,1997,1432,633,1473,821,707,2940
1140,1416,1841,1685,1232,776,1120,1626,1917,1705,1225,851,13958,2576,397,1132,3323,2440,1361,1110,2087,1715,577,2392
1661,2732,2026,1681,1191,691,1673,2417,1694,1514,1067,804,10619,8532,191,891,2668,2075,1142,1335,2802,2840,1516,3691
1255,1951,1616,1488,1077,695,1460,1927,1459,1340,992,737,8417,7580,148,524,1897,1773,951,1078,2438,2338,1399,3452
1171,1655,1506,1371,1135,714,1213,1934,1618,1403,1134,790,10174,5470,242,836,2494,1966,978,1118,2420,2061,882,2647
1753,2195,1907,1521,1153,704,1846,2146,1688,1393,1073,699,7374,10704,91,450,1768,1578,736,1000,2593,2814,1973,5075
1061,1702,1743,1457,1299,861,1025,1929,1697,1561,1370,973,13686,2992,420,1584,3732,2356,1419,1056,1894,1424,515,2277
1490,2376,1751,1374,908,572,1613,2543,1752,1536,1028,710,10347,7306,245,1685,3193,1588,930,727,1775,1382,1441,4688
4918,5487,2118,1299,903,531,5507,4174,1371,996,796,499,11739,16860,256,2297,3394,1842,808,990,2002,1931,1692,13388
1161,1310,1370,1422,1412,956,1170,1469,1462,1521,1482,1191,10868,5058,252,732,2671,2304,1113,1260,2543,1933,672,2448
1363,1761,1685,1673,1299,875,1312,1981,1788,1695,1320,969,12063,5658,281,816,2791,2485,1215,1350,2643,2373,909,2858
1013,889,1336,1409,1247,1114,959,926,1492,1427,1331,1316,11607,2852,342,907,2929,2218,1088,1112,2044,1388,328,2104
1871,2296,1952,1352,931,580,1868,2431,1947,1330,943,654,8032,10123,74,385,1340,1231,1117,895,2361,2119,2715,5918
988,1305,1697,1616,1401,921,997,1443,1772,1619,1498,1017,13764,2510,521,1847,3954,2284,1542,916,1758,1068,328,2054
736,641,1170,1408,1223,1090,667,711,1331,1446,1344,1200,11806,1161,592,1788,3419,1641,1493,523,1039,569,255,1650
6566,1631,511,340,404,187,7694,993,324,260,401,182,11453,8040,48,533,958,533,221,223,468,309,337,15863
1142,1471,1435,1428,1179,974,1129,1607,1500,1480,1319,1056,12883,2837,497,2061,3988,2042,1241,694,1330,866,344,2658
6361,2597,1117,655,576,276,7287,1969,789,587,474,312,8796,14204,44,462,964,706,352,418,943,790,940,17381
1424,1410,1519,1546,1208,818,1472,1680,1740,1685,1252,892,9184,7462,145,490,1871,1730,891,1180,2902,2533,1419,3485
1043,1246,1558,1471,1218,992,983,1348,1658,1527,1284,1032,12470,2890,335,895,2927,2234,1233,1324,2213,1839,436,1924
2777,2343,1304,1077,916,524,2721,2074,1201,1025,878,601,10032,7409,144,1001,2365,1537,705,743,1673,1337,851,7084
1556,1798,1765,1630,1281,871,1748,2132,1906,1737,1271,955,10605,8045,179,495,2015,2039,969,1368,3250,3140,1479,3716
1151,1801,1693,1479,1199,744,1088,1888,1764,1645,1255,925,13075,3557,389,2303,3852,1980,1247,680,1517,901,730,3032
1055,1476,1746,1660,1332,1009,998,1616,1708,1681,1495,1114,13560,3330,418,1239,3505,2648,1346,1258,2153,1751,460,2111
1034,1733,1765,1517,1210,775,1096,1821,1706,1530,1245,891,11718,4605,325,1149,3154,2436,1130,1206,2308,1969,583,2062
1029,1112,1475,1596,1527,1076,973,1194,1634,1656,1549,1200,12316,3705,353,1294,3473,2049,1533,1075,2306,1468,423,2047
1071,1394,1613,1577,1249,894,1105,1589,1707,1621,1381,1075,11902,4374,335,1014,3087,2387,1330,1137,2314,1857,582,2235
936,1136,1464,1419,1170,992,922,1296,1582,1470,1321,1079,11517,3270,391,1094,2952,2219,1123,1073,1978,1491,448,2018
1109,1631,1673,1445,1241,712,1098,1664,1716,1586,1248,833,12616,3340,456,2353,3729,1611,1200,557,1269,746,889,3148
1216,1088,1427,1630,1248,933,1155,1244,1552,1664,1259,1091,11024,4483,277,820,2729,2139,1106,1075,2070,1792,765,2733
2567,1844,1218,1227,1075,608,2737,1625,1250,1304,1177,705,12701,4636,287,1716,2929,1386,851,589,1195,743,592,7050
1085,1093,1445,1430,1340,1189,717,829,1346,1416,1482,1307,12459,2220,555,1634,3249,1888,1287,731,1518,1200,588,2028
813,845,1109,1230,1052,822,775,888,1187,1245,1025,904,9781,2114,254,677,2284,1312,992,900,1472,1935,434,1634
879,783,964,1026,920,620,879,893,996,1060,914,677,6986,3625,100,233,1036,932,535,936,1936,2270,868,1764
919,1033,1278,1211,905,727,880,1068,1257,1196,899,757,9049,3081,188,496,1957,1589,796,1001,1831,2156,477,1639
903,975,1188,1220,905,653,931,1015,1114,1173,932,724,8361,3372,159,361,1683,1366,686,1124,2204,2149,484,1517
824,713,997,1152,1104,757,774,776,1084,1150,1062,861,9010,2244,252,613,2020,1332,863,850,1719,1626,374,1606
869,850,1072,1155,991,818,933,971,1144,1089,995,859,8298,3448,142,314,1475,1129,774,988,2111,2369,687,1755
937,820,999,1082,977,754,902,923,1020,1110,990,803,7799,3518,131,289,1370,1081,716,856,1814,2466,711,1884
733,811,1058,1103,996,715,663,908,1098,1107,1094,816,8718,2384,249,683,2264,1552,956,746,1504,1378,356,1414
838,797,861,1022,851,618,911,851,862,1015,891,640,6934,3223,122,176,1085,904,485,1179,2110,1935,621,1540
890,1000,1245,1184,1022,604,908,1109,1301,1161,965,660,8550,3499,172,440,1869,1377,790,927,1827,2350,543,1755
787,852,1237,1166,1069,736,728,979,1249,1136,1106,820,9237,2628,273,625,2266,1633,1027,924,1675,1539,407,1496
866,995,1249,1195,879,679,857,1056,1247,1099,965,692,8582,3197,183,441,1912,1333,717,1054,2103,1863,572,1600
759,669,882,1099,1044,789,727,746,993,1183,1047,864,7992,2810,248,580,1897,1260,731,851,1688,1518,490,1538
986,1076,1202,1303,1028,795,1011,1097,1231,1247,1051,824,8988,3863,146,316,1562,1197,763,998,1873,3210,747,2037
791,927,1159,1246,1004,632,784,981,1189,1229,970,691,9493,2110,276,729,2399,1622,938,890,1449,1383,366,1552
966,1386,1219,1007,889,491,1019,1286,1029,974,756,504,6717,4809,108,423,1364,957,762,684,1699,2077,1094,2359
845,1426,1401,1287,957,587,907,1169,1062,962,852,559,7695,4319,168,514,1803,1248,816,868,1643,2092,821,2042
788,835,1208,1306,1221,871,865,999,1388,1309,1228,899,11241,1676,380,914,2758,1630,1179,842,1579,1491,440,1704
722,817,885,937,915,644,669,820,867,943,931,698,7254,2594,264,848,1924,1079,704,522,1142,1228,540,1596
872,898,1025,1063,899,619,950,1009,1096,1065,852,677,7028,3997,141,326,1462,1047,679,794,1774,1857,820,2125
744,645,976,1164,1040,702,703,673,1086,1179,1077,780,8693,2076,267,621,2241,1548,868,729,1414,1264,349,1468
1063,1126,1295,1186,1104,801,1008,1133,1323,1255,1135,982,9931,3480,319,798,2496,1490,1005,902,1791,1435,544,2630
822,1064,1356,1424,1141,710,771,1095,1338,1356,1128,728,10336,2597,310,1002,2774,1446,1359,990,1583,1376,379,1714
1166,1330,1337,1150,999,699,1096,1373,1183,1161,993,764,8653,4598,172,572,1654,1160,1011,709,1469,1463,1436,3605
799,762,1166,1273,1159,817,728,782,1239,1306,1223,851,9869,2236,436,1066,2707,1488,1160,759,1378,1093,320,1698
1252,713,1168,1215,1057,743,1175,734,1228,1225,1085,766,10936,1425,429,1046,2581,1202,1112,630,1000,839,222,3300
