,,OCODE,NAME,Avinc
00CX,Bradford,00CXFA,Baildon,620
00CX,Bradford,00CXFB,Bingley,600
00CX,Bradford,00CXFC,Bingley Rural,620
00CX,Bradford,00CXFD,Bolton,550
00CX,Bradford,00CXFE,Bowling,360
00CX,Bradford,00CXFF,Bradford Moor,340
00CX,Bradford,00CXFG,Clayton,500
00CX,Bradford,00CXFH,Craven,620
00CX,Bradford,00CXFJ,Eccleshill,460
00CX,Bradford,00CXFK,Great Horton,450
00CX,Bradford,00CXFL,Heaton,480
00CX,Bradford,00CXFM,Idle,580
00CX,Bradford,00CXFN,Ilkley,720
00CX,Bradford,00CXFP,Keighley North,520
00CX,Bradford,00CXFQ,Keighley South,400
00CX,Bradford,00CXFR,Keighley West,480
00CX,Bradford,00CXFS,Little Horton,320
00CX,Bradford,00CXFT,Odsal,460
00CX,Bradford,00CXFU,Queensbury,580
00CX,Bradford,00CXFW,Rombalds,720
00CX,Bradford,00CXFX,Shipley East,450
00CX,Bradford,00CXFY,Shipley West,580
00CX,Bradford,00CXFZ,Thornton,510
00CX,Bradford,00CXGA,Toller,390
00CX,Bradford,00CXGB,Tong,420
00CX,Bradford,00CXGC,Undercliffe,400
00CX,Bradford,00CXGD,University,320
00CX,Bradford,00CXGE,Wibsey,500
00CX,Bradford,00CXGF,Worth Valley,630
00CX,Bradford,00CXGG,Wyke,510
00CY,Calderdale,00CYFA,Brighouse,540
00CY,Calderdale,00CYFB,Calder Valley,590
00CY,Calderdale,00CYFC,Elland,480
00CY,Calderdale,00CYFD,Greetland and Stainland,630
00CY,Calderdale,00CYFE,Hipperholme and Lightcliffe,610
00CY,Calderdale,00CYFF,Illingworth,530
00CY,Calderdale,00CYFG,Luddendenfoot,580
00CY,Calderdale,00CYFH,Mixenden,420
00CY,Calderdale,00CYFJ,Northowram and Shelf,610
00CY,Calderdale,00CYFK,Ovenden,430
00CY,Calderdale,00CYFL,Rastrick,600
00CY,Calderdale,00CYFM,Ryburn,630
00CY,Calderdale,00CYFN,St. John's,350
00CY,Calderdale,00CYFP,Skircoat,620
00CY,Calderdale,00CYFQ,Sowerby Bridge,510
00CY,Calderdale,00CYFR,Todmorden,480
00CY,Calderdale,00CYFS,Town,460
00CY,Calderdale,00CYFT,Warley,500
00CZ,Kirklees,00CZFA,Almondbury,490
00CZ,Kirklees,00CZFB,Batley East,480
00CZ,Kirklees,00CZFC,Batley West,470
00CZ,Kirklees,00CZFD,Birkby,470
00CZ,Kirklees,00CZFE,Birstall and Birkenshaw,560
00CZ,Kirklees,00CZFF,Cleckheaton,560
00CZ,Kirklees,00CZFG,Colne Valley West,540
00CZ,Kirklees,00CZFH,Crosland Moor,450
00CZ,Kirklees,00CZFJ,Dalton,480
00CZ,Kirklees,00CZFK,Deighton,410
00CZ,Kirklees,00CZFL,Denby Dale,670
00CZ,Kirklees,00CZFM,Dewsbury East,450
00CZ,Kirklees,00CZFN,Dewsbury West,450
00CZ,Kirklees,00CZFP,Golcar,530
00CZ,Kirklees,00CZFQ,Heckmondwike,560
00CZ,Kirklees,00CZFR,Holme Valley North,610
00CZ,Kirklees,00CZFS,Holme Valley South,670
00CZ,Kirklees,00CZFT,Kirkburton,620
00CZ,Kirklees,00CZFU,Lindley,580
00CZ,Kirklees,00CZFW,Mirfield,600
00CZ,Kirklees,00CZFX,Newsome,410
00CZ,Kirklees,00CZFY,Paddock,440
00CZ,Kirklees,00CZFZ,Spen,530
00CZ,Kirklees,00CZGA,Thornhill,460
00DA,Leeds,00DAFA,Aireborough,630
00DA,Leeds,00DAFB,Armley,450
00DA,Leeds,00DAFC,Barwick and Kippax,620
00DA,Leeds,00DAFD,Beeston,440
00DA,Leeds,00DAFE,Bramley,470
00DA,Leeds,00DAFF,Burmantofts,390
00DA,Leeds,00DAFG,Chapel Allerton,480
00DA,Leeds,00DAFH,City and Holbeck,370
00DA,Leeds,00DAFJ,Cookridge,620
00DA,Leeds,00DAFK,Garforth and Swillington,610
00DA,Leeds,00DAFL,Halton,620
00DA,Leeds,00DAFM,Harehills,380
00DA,Leeds,00DAFN,Headingley,390
00DA,Leeds,00DAFP,Horsforth,680
00DA,Leeds,00DAFQ,Hunslet,400
00DA,Leeds,00DAFR,Kirkstall,490
00DA,Leeds,00DAFS,Middleton,500
00DA,Leeds,00DAFT,Moortown,610
00DA,Leeds,00DAFU,Morley North,610
00DA,Leeds,00DAFW,Morley South,580
00DA,Leeds,00DAFX,North,650
00DA,Leeds,00DAFY,Otley and Wharfedale,650
00DA,Leeds,00DAFZ,Pudsey North,620
00DA,Leeds,00DAGA,Pudsey South,550
00DA,Leeds,00DAGB,Richmond Hill,400
00DA,Leeds,00DAGC,Rothwell,590
00DA,Leeds,00DAGD,Roundhay,710
00DA,Leeds,00DAGE,Seacroft,390
00DA,Leeds,00DAGF,University,350
00DA,Leeds,00DAGG,Weetwood,540
00DA,Leeds,00DAGH,Wetherby,680
00DA,Leeds,00DAGJ,Whinmoor,510
00DA,Leeds,00DAGK,Wortley,490
00DB,Wakefield,00DBFA,Castleford Ferry Fryston,430
00DB,Wakefield,00DBFB,Castleford Glasshoughton,470
00DB,Wakefield,00DBFC,Castleford Whitwood,440
00DB,Wakefield,00DBFD,Crofton and Ackworth,570
00DB,Wakefield,00DBFE,Featherstone,450
00DB,Wakefield,00DBFF,Hemsworth,430
00DB,Wakefield,00DBFG,Horbury,550
00DB,Wakefield,00DBFH,Knottingley,440
00DB,Wakefield,00DBFJ,Normanton and Sharlston,480
00DB,Wakefield,00DBFK,Ossett,560
00DB,Wakefield,00DBFL,Pontefract North,490
00DB,Wakefield,00DBFM,Pontefract South,520
00DB,Wakefield,00DBFN,South Elmsall,460
00DB,Wakefield,00DBFP,South Kirkby,430
00DB,Wakefield,00DBFQ,Stanley and Altofts,580
00DB,Wakefield,00DBFR,Stanley and Wrenthorpe,610
00DB,Wakefield,00DBFS,Wakefield Central,430
00DB,Wakefield,00DBFT,Wakefield East,390
00DB,Wakefield,00DBFU,Wakefield North,450
00DB,Wakefield,00DBFW,Wakefield Rural,620
00DB,Wakefield,00DBFX,Wakefield South,610
